ISO_NO,AP2,AP3
288,GH,GHA
266,GA,GAB
328,GY,GUY
270,GM,GMB
312,GP,GLP
320,GT,GTM
316,GU,GUM
308,GD,GRD
268,GE,GEO
300,GR,GRC
304,GL,GRL
324,GN,GIN
624,GW,GNB
516,NA,NAM
520,NR,NRU
566,NG,NGA
10,AQ,ATA
710,ZA,ZAF
528,NL,NLD
530,AN,ANT
524,NP,NPL
578,NO,NOR
574,NF,NFK
540,NC,NCL
554,NZ,NZL
570,NU,NIU
562,NE,NER
558,NI,NIC
410,KR,KOR
208,DK,DNK
212,DM,DMA
214,DO,DOM
276,DE,DEU
626,TL,TLS
418,LA,LAO
430,LR,LBR
428,LV,LVA
643,RU,RUS
422,LB,LBN
426,LS,LSO
638,RE,REU
642,RO,ROU
442,LU,LUX
646,RW,RWA
434,LY,LBY
440,LT,LTU
438,LI,LIE
450,MG,MDG
474,MQ,MTQ
584,MH,MHL
175,YT,MYT
446,MO,MAC
807,MK,MKD
454,MW,MWI
458,MY,MYS
466,ML,MLI
484,MX,MEX
492,MC,MCO
504,MA,MAR
480,MU,MUS
478,MR,MRT
508,MZ,MOZ
500,MS,MSR
498,MD,MDA
462,MV,MDV
470,MT,MLT
496,MN,MNG
840,US,USA
581,UM,UMI
850,VI,VIR
104,MM,MMR
583,FM,FSM
548,VU,VUT
48,BH,BHR
52,BB,BRB
336,VA,VAT
44,BS,BHS
50,BD,BGD
60,BM,BMU
204,BJ,BEN
862,VE,VEN
704,VN,VNM
56,BE,BEL
112,BY,BLR
84,BZ,BLZ
70,BA,BIH
72,BW,BWA
68,BO,BOL
108,BI,BDI
854,BF,BFA
74,BV,BVT
64,BT,BTN
580,MP,MNP
100,BG,BGR
76,BR,BRA
96,BN,BRN
882,WS,WSM
682,SA,SAU
239,GS,SGS
674,SM,SMR
678,ST,STP
666,PM,SPM
732,EH,ESH
686,SN,SEN
891,CS,SCG
690,SC,SYC
662,LC,LCA
670,VC,VCT
659,KN,KNA
654,SH,SHN
706,SO,SOM
90,SB,SLB
736,SD,SDN
740,SR,SUR
144,LK,LKA
744,SJ,SJM
748,SZ,SWZ
752,SE,SWE
756,CH,CHE
724,ES,ESP
703,SK,SVK
705,SI,SVN
760,SY,SYR
694,SL,SLE
702,SG,SGP
784,AE,ARE
533,AW,ABW
51,AM,ARM
32,AR,ARG
16,AS,ASM
352,IS,ISL
332,HT,HTI
372,IE,IRL
31,AZ,AZE
4,AF,AFG
20,AD,AND
8,AL,ALB
12,DZ,DZA
24,AO,AGO
28,AG,ATG
660,AI,AIA
232,ER,ERI
233,EE,EST
218,EC,ECU
231,ET,ETH
222,SV,SLV
826,GB,GBR
92,VG,VGB
86,IO,IOT
887,YE,YEM
512,OM,OMN
36,AU,AUS
40,AT,AUT
340,HN,HND
248,AX,ALA
400,JO,JOR
800,UG,UGA
858,UY,URY
860,UZ,UZB
804,UA,UKR
876,WF,WLF
368,IQ,IRQ
364,IR,IRN
376,IL,ISR
818,EG,EGY
380,IT,ITA
360,ID,IDN
356,IN,IND
392,JP,JPN
388,JM,JAM
894,ZM,ZMB
226,GQ,GNQ
408,KP,PRK
140,CF,CAF
158,TW,TWN
156,CN,CHN
262,DJ,DJI
292,GI,GIB
716,ZW,ZWE
148,TD,TCD
203,CZ,CZE
152,CL,CHL
120,CM,CMR
132,CV,CPV
398,KZ,KAZ
634,QA,QAT
116,KH,KHM
124,CA,CAN
404,KE,KEN
136,KY,CYM
174,KM,COM
188,CR,CRI
166,CC,CCK
384,CI,CIV
170,CO,COL
178,CG,COG
180,CD,COD
192,CU,CUB
414,KW,KWT
184,CK,COK
191,HR,HRV
162,CX,CXR
417,KG,KGZ
296,KI,KIR
196,CY,CYP
764,TH,THA
762,TJ,TJK
834,TZ,TZA
796,TC,TCA
792,TR,TUR
768,TG,TGO
772,TK,TKL
776,TO,TON
795,TM,TKM
798,TV,TUV
788,TN,TUN
780,TT,TTO
591,PA,PAN
600,PY,PRY
586,PK,PAK
598,PG,PNG
585,PW,PLW
275,PS,PSE
234,FO,FRO
604,PE,PER
620,PT,PRT
238,FK,FLK
616,PL,POL
630,PR,PRI
250,FR,FRA
254,GF,GUF
260,TF,ATF
258,PF,PYF
242,FJ,FJI
246,FI,FIN
608,PH,PHL
612,PN,PCN
334,HM,HMD
348,HU,HUN
344,HK,HKG
