ISO_NO,AP2,AP3,flag
288,GH,GHA,gh.png
266,GA,GAB,ga.png
328,GY,GUY,gy.png
270,GM,GMB,gm.png
312,GP,GLP,gp.png
320,GT,GTM,gt.png
316,GU,GUM,gu.png
308,GD,GRD,gd.png
268,GE,GEO,ge.png
300,GR,GRC,gr.png
304,GL,GRL,gl.png
324,GN,GIN,gn.png
624,GW,GNB,gw.png
516,NA,NAM,na.png
520,NR,NRU,nr.png
566,NG,NGA,ng.png
10,AQ,ATA,aq.png
710,ZA,ZAF,za.png
528,NL,NLD,nl.png
530,AN,ANT,an.png
524,NP,NPL,np.png
578,NO,NOR,no.png
574,NF,NFK,nf.png
540,NC,NCL,nc.png
554,NZ,NZL,nz.png
570,NU,NIU,nu.png
562,NE,NER,ne.png
558,NI,NIC,ni.png
410,KR,KOR,kr.png
208,DK,DNK,dk.png
212,DM,DMA,dm.png
214,DO,DOM,do.png
276,DE,DEU,de.png
626,TL,TLS,tl.png
418,LA,LAO,la.png
430,LR,LBR,lr.png
428,LV,LVA,lv.png
643,RU,RUS,ru.png
422,LB,LBN,lb.png
426,LS,LSO,ls.png
638,RE,REU,re.png
642,RO,ROU,ro.png
442,LU,LUX,lu.png
646,RW,RWA,rw.png
434,LY,LBY,ly.png
440,LT,LTU,lt.png
438,LI,LIE,li.png
450,MG,MDG,mg.png
474,MQ,MTQ,mq.png
584,MH,MHL,mh.png
175,YT,MYT,yt.png
446,MO,MAC,mo.png
807,MK,MKD,mk.png
454,MW,MWI,mw.png
458,MY,MYS,my.png
466,ML,MLI,ml.png
484,MX,MEX,mx.png
492,MC,MCO,mc.png
504,MA,MAR,ma.png
480,MU,MUS,mu.png
478,MR,MRT,mr.png
508,MZ,MOZ,mz.png
500,MS,MSR,ms.png
498,MD,MDA,md.png
462,MV,MDV,mv.png
470,MT,MLT,mt.png
496,MN,MNG,mn.png
840,US,USA,us.png
581,UM,UMI,um.png
850,VI,VIR,vi.png
104,MM,MMR,mm.png
583,FM,FSM,fm.png
548,VU,VUT,vu.png
48,BH,BHR,bh.png
52,BB,BRB,bb.png
336,VA,VAT,va.png
44,BS,BHS,bs.png
50,BD,BGD,bd.png
60,BM,BMU,bm.png
204,BJ,BEN,bj.png
862,VE,VEN,ve.png
704,VN,VNM,vn.png
56,BE,BEL,be.png
112,BY,BLR,by.png
84,BZ,BLZ,bz.png
70,BA,BIH,ba.png
72,BW,BWA,bw.png
